system,candidate_nodes,node,visit_count,trajectories,er,er_ge_10,er_ge_30
Browser,All non-trivial nodes,371,0,16,0.0,False,False
Browser,All non-trivial nodes,372,0,16,0.0,False,False
Browser,All non-trivial nodes,373,0,16,0.0,False,False
Browser,All non-trivial nodes,374,0,16,0.0,False,False
Browser,All non-trivial nodes,375,0,16,0.0,False,False
Browser,All non-trivial nodes,376,0,16,0.0,False,False
Browser,All non-trivial nodes,377,0,16,0.0,False,False
Browser,All non-trivial nodes,378,0,16,0.0,False,False
Browser,All non-trivial nodes,379,0,16,0.0,False,False
Browser,All non-trivial nodes,38,0,16,0.0,False,False
Browser,All non-trivial nodes,380,0,16,0.0,False,False
Browser,All non-trivial nodes,381,0,16,0.0,False,False
Browser,All non-trivial nodes,382,0,16,0.0,False,False
Browser,All non-trivial nodes,383,0,16,0.0,False,False
Browser,All non-trivial nodes,384,0,16,0.0,False,False
Browser,All non-trivial nodes,385,0,16,0.0,False,False
Browser,All non-trivial nodes,386,0,16,0.0,False,False
Browser,All non-trivial nodes,387,0,16,0.0,False,False
Browser,All non-trivial nodes,388,0,16,0.0,False,False
Browser,All non-trivial nodes,389,0,16,0.0,False,False
Browser,All non-trivial nodes,39,0,16,0.0,False,False
Browser,All non-trivial nodes,390,0,16,0.0,False,False
Browser,All non-trivial nodes,391,0,16,0.0,False,False
Browser,All non-trivial nodes,392,0,16,0.0,False,False
Browser,All non-trivial nodes,393,0,16,0.0,False,False
Browser,All non-trivial nodes,394,0,16,0.0,False,False
Browser,All non-trivial nodes,395,0,16,0.0,False,False
Browser,All non-trivial nodes,396,0,16,0.0,False,False
Browser,All non-trivial nodes,397,0,16,0.0,False,False
Browser,All non-trivial nodes,398,0,16,0.0,False,False
Browser,All non-trivial nodes,399,0,16,0.0,False,False
Browser,All non-trivial nodes,4,3,16,0.1875,True,False
Browser,All non-trivial nodes,40,0,16,0.0,False,False
Browser,All non-trivial nodes,400,0,16,0.0,False,False
Browser,All non-trivial nodes,401,0,16,0.0,False,False
Browser,All non-trivial nodes,402,0,16,0.0,False,False
Browser,All non-trivial nodes,403,0,16,0.0,False,False
Browser,All non-trivial nodes,404,0,16,0.0,False,False
Browser,All non-trivial nodes,405,0,16,0.0,False,False
Browser,All non-trivial nodes,406,0,16,0.0,False,False
Browser,All non-trivial nodes,407,0,16,0.0,False,False
Browser,All non-trivial nodes,408,0,16,0.0,False,False
Browser,All non-trivial nodes,409,0,16,0.0,False,False
Browser,All non-trivial nodes,41,0,16,0.0,False,False
Browser,All non-trivial nodes,410,0,16,0.0,False,False
Browser,All non-trivial nodes,411,0,16,0.0,False,False
Browser,All non-trivial nodes,412,0,16,0.0,False,False
Browser,All non-trivial nodes,413,0,16,0.0,False,False
Browser,All non-trivial nodes,414,0,16,0.0,False,False
Browser,All non-trivial nodes,415,0,16,0.0,False,False
Browser,All non-trivial nodes,416,0,16,0.0,False,False
Browser,All non-trivial nodes,417,0,16,0.0,False,False
Browser,All non-trivial nodes,418,0,16,0.0,False,False
Browser,All non-trivial nodes,419,0,16,0.0,False,False
Browser,All non-trivial nodes,42,0,16,0.0,False,False
Browser,All non-trivial nodes,420,0,16,0.0,False,False
Browser,All non-trivial nodes,421,0,16,0.0,False,False
Browser,All non-trivial nodes,422,0,16,0.0,False,False
Browser,All non-trivial nodes,423,0,16,0.0,False,False
Browser,All non-trivial nodes,424,0,16,0.0,False,False
Browser,All non-trivial nodes,425,0,16,0.0,False,False
Browser,All non-trivial nodes,426,0,16,0.0,False,False
Browser,All non-trivial nodes,427,0,16,0.0,False,False
Browser,All non-trivial nodes,428,0,16,0.0,False,False
Browser,All non-trivial nodes,429,0,16,0.0,False,False
Browser,All non-trivial nodes,43,0,16,0.0,False,False
Browser,All non-trivial nodes,430,0,16,0.0,False,False
Browser,All non-trivial nodes,431,0,16,0.0,False,False
Browser,All non-trivial nodes,432,0,16,0.0,False,False
Browser,All non-trivial nodes,433,0,16,0.0,False,False
Browser,All non-trivial nodes,434,0,16,0.0,False,False
Browser,All non-trivial nodes,435,0,16,0.0,False,False
Browser,All non-trivial nodes,436,0,16,0.0,False,False
Browser,All non-trivial nodes,437,0,16,0.0,False,False
Browser,All non-trivial nodes,438,0,16,0.0,False,False
Browser,All non-trivial nodes,439,0,16,0.0,False,False
Browser,All non-trivial nodes,44,0,16,0.0,False,False
Browser,All non-trivial nodes,440,0,16,0.0,False,False
Browser,All non-trivial nodes,441,0,16,0.0,False,False
Browser,All non-trivial nodes,442,0,16,0.0,False,False
Browser,All non-trivial nodes,443,0,16,0.0,False,False
Browser,All non-trivial nodes,444,0,16,0.0,False,False
Browser,All non-trivial nodes,445,0,16,0.0,False,False
Browser,All non-trivial nodes,446,0,16,0.0,False,False
Browser,All non-trivial nodes,447,0,16,0.0,False,False
Browser,All non-trivial nodes,448,0,16,0.0,False,False
Browser,All non-trivial nodes,449,0,16,0.0,False,False
Browser,All non-trivial nodes,45,0,16,0.0,False,False
Browser,All non-trivial nodes,450,0,16,0.0,False,False
Browser,All non-trivial nodes,451,0,16,0.0,False,False
Browser,All non-trivial nodes,452,0,16,0.0,False,False
Browser,All non-trivial nodes,453,0,16,0.0,False,False
Browser,All non-trivial nodes,454,0,16,0.0,False,False
Browser,All non-trivial nodes,455,0,16,0.0,False,False
Browser,All non-trivial nodes,456,0,16,0.0,False,False
Browser,All non-trivial nodes,457,0,16,0.0,False,False
Browser,All non-trivial nodes,458,0,16,0.0,False,False
Browser,All non-trivial nodes,459,0,16,0.0,False,False
Browser,All non-trivial nodes,46,0,16,0.0,False,False
Browser,All non-trivial nodes,460,0,16,0.0,False,False
Browser,All non-trivial nodes,461,0,16,0.0,False,False
Browser,All non-trivial nodes,462,0,16,0.0,False,False
Browser,All non-trivial nodes,463,1,16,0.0625,False,False
Browser,All non-trivial nodes,464,0,16,0.0,False,False
Browser,All non-trivial nodes,465,0,16,0.0,False,False
Browser,All non-trivial nodes,466,0,16,0.0,False,False
Browser,All non-trivial nodes,467,0,16,0.0,False,False
Browser,All non-trivial nodes,468,0,16,0.0,False,False
Browser,All non-trivial nodes,469,0,16,0.0,False,False
Browser,All non-trivial nodes,47,0,16,0.0,False,False
Browser,All non-trivial nodes,470,0,16,0.0,False,False
Browser,All non-trivial nodes,471,0,16,0.0,False,False
Browser,All non-trivial nodes,472,0,16,0.0,False,False
Browser,All non-trivial nodes,473,0,16,0.0,False,False
Browser,All non-trivial nodes,474,0,16,0.0,False,False
Browser,All non-trivial nodes,475,0,16,0.0,False,False
Browser,All non-trivial nodes,476,0,16,0.0,False,False
Browser,All non-trivial nodes,477,0,16,0.0,False,False
Browser,All non-trivial nodes,478,0,16,0.0,False,False
Browser,All non-trivial nodes,479,0,16,0.0,False,False
Browser,All non-trivial nodes,48,0,16,0.0,False,False
Browser,All non-trivial nodes,480,0,16,0.0,False,False
Browser,All non-trivial nodes,481,0,16,0.0,False,False
Browser,All non-trivial nodes,482,0,16,0.0,False,False
Browser,All non-trivial nodes,483,0,16,0.0,False,False
Browser,All non-trivial nodes,484,0,16,0.0,False,False
Browser,All non-trivial nodes,485,0,16,0.0,False,False
Browser,All non-trivial nodes,486,0,16,0.0,False,False
Browser,All non-trivial nodes,487,0,16,0.0,False,False
Browser,All non-trivial nodes,488,0,16,0.0,False,False
Browser,All non-trivial nodes,489,0,16,0.0,False,False
Browser,All non-trivial nodes,49,0,16,0.0,False,False
Browser,All non-trivial nodes,490,0,16,0.0,False,False
Browser,All non-trivial nodes,491,0,16,0.0,False,False
Browser,All non-trivial nodes,492,0,16,0.0,False,False
Browser,All non-trivial nodes,493,0,16,0.0,False,False
Browser,All non-trivial nodes,494,0,16,0.0,False,False
Browser,All non-trivial nodes,495,0,16,0.0,False,False
Browser,All non-trivial nodes,496,0,16,0.0,False,False
